PAA	692875460	4191287.8	0	0	43864388	207026480	65798492	63675950	8272058	13717876	0	0	0	0	5291470	12871861	872371.5	2795734	57183836	78229660	1126484.1	33203520	30744000	8454600	2559438	19164800	39940844
PAB	276252000	1671081.9	0	0	12775683	178537360	26279734	25432002	3303837.3	3066853.3	0	0	0	0	1180525.6	2871710	195970.52	629422	12757702	17372206	253797.33	7407698.5	6858980	1886219.4	571010	4692000	9010976
PCK	180476420	1091723.9	0	0	17292632	107441750	17117246	16565076	2151946.8	6634929	0	0	0	0	2563805.8	6236633.5	420238.5	1344246.1	27706524	38050240	541301.7	16087660	14895983	4096395	1240090.5	8922000	19268342
SMP	819906050	4959711	0	0	40141424	197115400	77898960	75386100	9793307	10944367	0	0	0	0	4214700.5	10252547	698626.56	2242813.8	45547410	62083690	904214.25	26446884	24487856	6734160	2038613.9	15713350	31914060
AYA	319095740	1930249.1	0	0	26438010	81097240	49181180	47594684	6182962.5	8929361	0	0	0	0	3420234.8	8319954.5	577021.5	1862756.8	36961784	49774844	752364.5	21461684	19871928	5464780.5	1654338	12214350	25733196
AYB	269420060	1629754.6	0	0	19130572	39041936	41545890	40205704	5223069	5062216.5	0	0	0	0	1934854.4	4706664.5	328696.53	1063393.3	20909572	28021534	429805.16	12141043	11241707	3091469.5	935872	7577400	14717776
BIA	414752800	2508890	0	0	32212476	56247260	63952370	61889380	8039969.5	7699767.5	0	0	0	0	2951624.8	7180030	496666.5	1602047	31897608	43033070	646891.56	18521192	17149252	4716044	1427675.3	12285850	22648396
BLS	414646140	2508245	0	0	20540068	-4183310.8	63990084	61925892	8044709.5	4477528	0	0	0	0	1712859	4166646.3	290169	937935.4	18510516	24855448	378989.75	10748043	9951891	2736770	828494.94	7651100	13267786
BPH	148757140	899850.25	0	0	4380351.5	29262546	22964248	22223464	2887020.3	1209943.8	0	0	0	0	463127.72	1126589.9	78309.01	252976.03	5004927.5	6729367	102199.98	2906087	2690821.5	739975.75	224010.88	2049050	3582903.3
BPI	156353700	945802.44	0	0	12023612	38158492	24116656	23338702	3031899.3	4239967	0	0	0	0	1631446.6	3968606.3	271177.5	871334.5	17630714	23986596	351389.97	10237190	9478879	2606691.5	789116.7	6319550	12410564
BSA	140145000	847754.06	0	0	10890587	195389810	21620018	20922602	2718027.3	2722109.8	0	0	0	0	1049252.9	2552379.3	173398.52	556126.44	11339061	15487338	224136.73	6583972	6096270	1676474.1	507514.44	4582950	8114686.5
